N,Iterative,Dynamic Programming,Recursive
1,0.000002,0.000001,0.000001
2,0.000003,0.000002,0.000002
3,0.000003,0.000003,0.000002
4,0.000003,0.000003,0.000003
5,0.000003,0.000003,0.000003
6,0.000003,0.000003,0.000004
7,0.000003,0.000003,0.000005
8,0.000003,0.000003,0.000007
9,0.000003,0.000003,0.000010
10,0.000003,0.000003,0.000014
11,0.000003,0.000003,0.000020
12,0.000003,0.000003,0.000031
13,0.000003,0.000003,0.000048
14,0.000003,0.000003,0.000078
15,0.000003,0.000004,0.000123
16,0.000003,0.000004,0.000196
17,0.000004,0.000004,0.000317
18,0.000004,0.000004,0.000533
19,0.000004,0.000004,0.000825
20,0.000004,0.000004,0.001332
21,0.000004,0.000004,0.002164
22,0.000004,0.000004,0.003467
23,0.000004,0.000004,0.005634
24,0.000004,0.000004,0.009052
25,0.000004,0.000004,0.014842
26,0.000004,0.000004,0.023712
27,0.000004,0.000004,0.038099
28,0.000004,0.000004,0.062238
29,0.000004,0.000004,0.100191
30,0.000004,0.000004,0.162006
31,0.000004,0.000004,-
32,0.000004,0.000005,-
33,0.000004,0.000004,-
34,0.000004,0.000005,-
35,0.000004,0.000005,-
36,0.000004,0.000005,-
37,0.000004,0.000005,-
38,0.000004,0.000005,-
39,0.000004,0.000005,-
40,0.000004,0.000005,-
41,0.000004,0.000005,-
42,0.000004,0.000005,-
43,0.000004,0.000005,-
44,0.000004,0.000005,-
45,0.000004,0.000005,-
46,0.000004,0.000005,-
47,0.000004,0.000005,-
48,0.000004,0.000005,-
49,0.000005,0.000005,-
50,0.000005,0.000006,-
51,0.000005,0.000006,-
52,0.000004,0.000006,-
53,0.000005,0.000006,-
54,0.000005,0.000006,-
55,0.000005,0.000009,-
56,0.000005,0.000009,-
57,0.000024,0.000010,-
58,0.000005,0.000009,-
59,0.000005,0.000009,-
60,0.000005,0.000009,-
61,0.000005,0.000009,-
62,0.000005,0.000009,-
63,0.000005,0.000009,-
64,0.000005,0.000009,-
65,0.000005,0.000009,-
66,0.000005,0.000009,-
67,0.000005,0.000009,-
68,0.000005,0.000009,-
69,0.000006,0.000012,-
70,0.000005,0.000010,-
71,0.000005,0.000010,-
72,0.000005,0.000010,-
73,0.000005,0.000010,-
74,0.000006,0.000012,-
75,0.000005,0.000010,-
76,0.000005,0.000010,-
77,0.000005,0.000010,-
78,0.000005,0.000011,-
79,0.000005,0.000010,-
80,0.000005,0.000010,-
81,0.000005,0.000010,-
82,0.000005,0.000011,-
83,0.000005,0.000011,-
84,0.000005,0.000010,-
85,0.000005,0.000010,-
86,0.000005,0.000011,-
87,0.000006,0.000011,-
88,0.000005,0.000011,-
89,0.000005,0.000011,-
90,0.000005,0.000011,-
91,0.000007,0.000013,-
92,0.000006,0.000011,-
93,0.000006,0.000011,-
94,0.000006,0.000011,-
95,0.000006,0.000011,-
96,0.000006,0.000011,-
97,0.000006,0.000011,-
98,0.000006,0.000011,-
99,0.000006,0.000012,-
100,0.000006,0.000011,-
